National Code (Area Code) ,State               ,Migration date  ,Subscriber Number
                       11 ,São Paulo           ,29 July 2012    ,9XXXX XXXX
                       12 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       13 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       14 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       15 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       16 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       17 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       18 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       19 ,São Paulo           ,25 August 2013  ,9XXXX XXXX
                       21 ,Rio de Janeiro      ,27 October 2013 ,9XXXX XXXX
                       22 ,Rio de Janeiro      ,27 October 2013 ,9XXXX XXXX
                       24 ,Rio de Janeiro      ,27 October 2013 ,9XXXX XXXX
                       27 ,Espirito Santo      ,27 October 2013 ,9XXXX XXXX
                       28 ,Espirito Santo      ,27 October 2013 ,9XXXX XXXX
                       31 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       32 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       33 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       34 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       35 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       37 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       38 ,Minas Gerais        ,11 October 2015 ,9XXXX XXXX
                       41 ,Paraná              ,6 November 2016 ,9XXXX XXXX
                       42 ,Paraná              ,6 November 2016 ,9XXXX XXXX
                       43 ,Paraná              ,6 November 2016 ,9XXXX XXXX
                       44 ,Paraná              ,6 November 2016 ,9XXXX XXXX
                       45 ,Paraná              ,6 November 2016 ,9XXXX XXXX
                       46 ,Paraná              ,6 November 2016 ,9XXXX XXXX
                       47 ,Santa Catarina      ,6 November 2016 ,9XXXX XXXX
                       48 ,Santa Catarina      ,6 November 2016 ,9XXXX XXXX
                       49 ,Santa Catarina      ,6 November 2016 ,9XXXX XXXX
                       51 ,Rio Grande do Sul   ,6 November 2016 ,9XXXX XXXX
                       52 ,Rio Grande do Sul   ,6 November 2016 ,9XXXX XXXX
                       53 ,Rio Grande do Sul   ,6 November 2016 ,9XXXX XXXX
                       54 ,Rio Grande do Sul   ,6 November 2016 ,9XXXX XXXX
                       55 ,Rio Grande do Sul   ,6 November 2016 ,9XXXX XXXX
                       61 ,Distrito Federal    ,29 May 2016     ,9XXXX XXXX
                       62 ,Goiás               ,29 May 2016     ,9XXXX XXXX
                       64 ,Goiás               ,29 May 2016     ,9XXXX XXXX
                       63 ,Tocantins           ,29 May 2016     ,9XXXX XXXX
                       65 ,Mato Grosso         ,29 May 2016     ,9XXXX XXXX
                       66 ,Mato Grosso         ,29 May 2016     ,9XXXX XXXX
                       67 ,Mato Grosso do Sul  ,29 May 2016     ,9XXXX XXXX
                       68 ,Acre                ,29 May 2016     ,9XXXX XXXX
                       69 ,Rondônia            ,29 May 2016     ,9XXXX XXXX
                       71 ,Bahia               ,11 October 2015 ,9XXXX XXXX
                       73 ,Bahia               ,11 October 2015 ,9XXXX XXXX
                       74 ,Bahia               ,11 October 2015 ,9XXXX XXXX
                       75 ,Bahia               ,11 October 2015 ,9XXXX XXXX
                       77 ,Bahia               ,11 October 2015 ,9XXXX XXXX
                       79 ,Bahia               ,11 October 2015 ,9XXXX XXXX
                       79 ,Sergipe             ,11 October 2015 ,9XXXX XXXX
                       81 ,Pernambuco          ,31 May 2015     ,9XXXX XXXX
                       89 ,Pernambuco          ,31 May 2015     ,9XXXX XXXX
                       82 ,Alagoas             ,31 May 2015     ,9XXXX XXXX
                       83 ,Paraiba             ,31 May 2015     ,9XXXX XXXX
                       84 ,Rio Grande do Norte ,31 May 2015     ,9XXXX XXXX
                       85 ,Ceará               ,31 May 2015     ,9XXXX XXXX
                       88 ,Ceará               ,31 May 2015     ,9XXXX XXXX
                       86 ,Piauí               ,31 May 2015     ,9XXXX XXXX
                       87 ,Piauí               ,31 May 2015     ,9XXXX XXXX
                       91 ,Pará                ,2 November 2014 ,9XXXX XXXX
                       93 ,Pará                ,2 November 2014 ,9XXXX XXXX
                       94 ,Pará                ,2 November 2014 ,9XXXX XXXX
                       92 ,Amazonas            ,2 November 2014 ,9XXXX XXXX
                       97 ,Amazonas            ,2 November 2014 ,9XXXX XXXX
                       95 ,Roraima             ,2 November 2014 ,9XXXX XXXX
                       96 ,Amapá               ,2 November 2014 ,9XXXX XXXX
                       98 ,Maranhão            ,2 November 2014 ,9XXXX XXXX
                       99 ,Maranhão            ,2 November 2014 ,9XXXX XXXX
